Location,Type,On church site?,Our address,Church address,Address check,Our lat,Our lng,Our GPS (paste),Church lat,Church lng,Church GPS (paste),Off by (m),GPS verdict,Church page
Brigham and Mary Ann Young Home,Historic Site,yes,"610 Kimball St, Nauvoo, IL 62354",610 Kimball St,MATCH,40.546083,-91.383754,"40.546083, -91.383754",40.5443467,-91.3929243,"40.54416325826907, -91.39294575782813",799,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/young-home?lang=eng
Browning Gun Shop,Historic Site,yes,"550 Main St, Nauvoo, IL 62354",550 Main St,MATCH,40.5468,-91.3842,"40.5468, -91.3842",40.5450257,-91.3913748,"40.5450257, -91.3913748",638,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/browning-gun-shop?lang=eng
Calvin and Sally Pendleton Home and Schoolhouse,Historic Site,yes,"745 Kimball St, Nauvoo, IL 62354",745 Kimball St,MATCH,40.546,-91.384,"40.546, -91.384",40.5444587,-91.3907419,"40.54436494023939, -91.39082236642403",595,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/pendleton-home-and-schoolhouse?lang=eng
Carriage Depot,Visitor Amenity,yes,"895 Hubbard St, Nauvoo, IL 62354","895 Hubbard St, Nauvoo, IL 62354",MATCH,40.5475,-91.3825,"40.5475, -91.3825",40.553452,-91.3897665,"40.55418878783334, -91.38918597713362",903,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/carriage-depot?lang=eng
Carthage Jail,Historic Site,yes,310 Buchanan St,310 Buchanan St,DIFFERS,40.4153,-91.1378,"40.4153, -91.1378",40.415454,-91.139379,"40.41523740276748, -91.1393232256083",135,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/carthage-jail?lang=eng
Carthage Jail Visitors' Center,Visitors' Center,yes,310 Buchanan St,310 Buchanan St,DIFFERS,40.4153,-91.1378,"40.4153, -91.1378",40.4157586,-91.1388601,"40.41606593863086, -91.13902468472116",103,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/carthage-jail-visitors-center?lang=eng
Cultural Hall,Historic Site,yes,"350 Main St, Nauvoo, IL 62354",350 Main St.,MATCH,40.547367,-91.391717,"40.547367, -91.391717",40.5473917,-91.3917442,"40.5473917, -91.3917442",4,ok - fixed,https://www.churchofjesuschrist.org/learn/locations/cultural-hall?lang=eng
David and Patty Sessions Home,Historic Site,yes,"790 Hotchkiss St, Nauvoo, IL 62354",790 Hotchkiss St,MATCH,40.5456,-91.387,"40.5456, -91.387",40.546387,-91.3926592,"40.54640567001006, -91.39008023811705",486,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/sessions-home?lang=eng
Edward and Ann Hunter Home,Historic Site,yes,"985 Knight St, Nauvoo, IL 62354",985 Knight St,MATCH,40.550933,-91.387417,"40.550933, -91.387417",40.5514035,-91.3874575,"40.55089714221233, -91.38743021747422",52,ok-fixed,https://www.churchofjesuschrist.org/learn/locations/hunter-home?lang=eng
Family Living Center,Visitor Amenity,yes,"455 Main St, Nauvoo, IL 62354","400 White St. Nauvoo, IL 62354",MATCH,40.547,-91.384,"40.547, -91.384",40.5473067,-91.3952275,"40.54728908988476, -91.39264890095548",949,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/family-living-center?lang=eng
FamilySearch Center,Visitor Amenity,NOT ON SITE,"1195 Knight St, Nauvoo, IL 62354",,no official addr,40.5456,-91.38,"40.5456, -91.38",,,"40.551055836351736, -91.38355207514996",,WRONG - fixed,
George and Christiana Riser Home and Boot Shop,Historic Site,yes,"685 Main St, Nauvoo, IL 62354",685 Main St,MATCH,40.546,-91.384,"40.546, -91.384",40.5434092,-91.3918249,"40.5434092, -91.3918249",721,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/riser-boot-and-shoe-shop?lang=eng
Heber and Vilate Kimball Home,Historic Site,yes,"995 Munson St, Nauvoo, IL 62354",995 Munson St,MATCH,40.551,-91.387,"40.551, -91.387",,,"40.54544624142479, -91.38799562580648",,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/heber-kimball-home?lang=eng
Hiram and Sarah Granger Kimball Home,Historic Site,yes,"Commerce Street, Nauvoo, IL 62354","Commerce Street, Nauvoo, IL 62354",no official addr,40.55,-91.383,"40.55, -91.383",40.5531065,-91.3997959,"40.55311462322429, -91.39723171040967",1460,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/sarah-kimball-home?lang=eng
Historic Nauvoo North Visitors' Center,Visitors' Center,yes,"Main St, Nauvoo, IL 62354",290 Main St,DIFFERS,40.5475,-91.3825,"40.5475, -91.3825",40.553452,-91.3897665,"40.553452, -91.3897665",903,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/historic-nauvoo-visitors-center?lang=eng
Historic Nauvoo South Visitors' Center,Visitors' Center,yes,"Young St, Nauvoo, IL 62354",865 Water St,DIFFERS,40.542,-91.387,"40.542, -91.387",,,"40.54126483514479, -91.389395580914",,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/historic-nauvoo-south-visitors-center?lang=eng
Kimball Barn,Visitor Amenity,yes,"Commerce St, Nauvoo, IL 62354","Commerce St, Nauvoo, IL 62354",no official addr,40.55,-91.383,"40.55, -91.383",40.5534178,-91.4005671,"40.55381720701032, -91.39806728349087",1532,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/kimball-barn?lang=eng
Lucy Mack Smith Home,Historic Site,yes,"620 S Hyde St, Nauvoo, IL 62354",620 S Hyde St,MATCH,40.543,-91.385,"40.543, -91.385",,,"40.54404417949222, -91.38975131192996",,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/lucy-mack-smith-home?lang=eng
Lyon Drug Store,Historic Site,yes,"750 Hotchkiss St, Nauvoo, IL 62354",750 Hotchkiss St,MATCH,40.5456,-91.387,"40.5456, -91.387",40.5463732,-91.3906064,"40.5463732, -91.3906064",317,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/lyon-drug-store?lang=eng
Mansion House,Historic Site,yes,"610 Water St, Nauvoo, IL 62354","610 Water St, Nauvoo, IL 62354",no official addr,40.5408,-91.389,"40.5408, -91.389",40.541,-91.3962579,"40.540987912537325, -91.39138029065039",614,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/mansion-house?lang=eng
Monument to Women,Monument,yes,"Nauvoo, IL 62354","820 Young St, Nauvoo, IL 62354",DIFFERS,40.547,-91.383,"40.547, -91.383",40.553452,-91.3897665,"40.55279424522942, -91.3897969361556",917,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/monument-to-women?lang=eng
Nauvoo Illinois Temple,Historic Temple,NOT ON SITE,"50 N Wells St, Nauvoo, IL 62354","50 N Wells St, Nauvoo, IL 62354",no official addr,40.55,-91.3847,"40.55, -91.3847",,,"40.55043712626283, -91.38441778479795",,WRONG - fixed,
Nauvoo Stake Center,Meetinghouse,NOT ON SITE,"380 N Durphy St, Nauvoo, IL 62354",,no official addr,40.5489,-91.3803,"40.5489, -91.3803",,,"40.554100220920006, -91.3861102351881",,WRONG - fixed,
Orson and Marinda Hyde Home,Historic Site,yes,"690 S Hyde St, Nauvoo, IL 62354",690 S Hyde St,MATCH,40.543,-91.385,"40.543, -91.385",40.5469218,-91.3899972,"40.54668727806681, -91.39012340961243",607,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/hyde-home?lang=eng
Outdoor Stage,Visitor Amenity,yes,"Partridge St, Nauvoo, IL 62354","Partridge St, Nauvoo, IL 62354",no official addr,40.543,-91.387,"40.543, -91.387",40.5540772,-91.3882115,"40.55372931241302, -91.38794731420282",1236,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/outdoor-stage?lang=eng
Oxen Experience,Visitor Amenity,yes,"Broadway Street, Nauvoo, IL 62354",,no official addr,40.546,-91.385,"40.546, -91.385",40.55572,-91.3910563,"40.555318537877476, -91.3917858608615",1196,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/oxen-experience?lang=eng
Pageant Stage Area,Visitor Amenity,yes,"260 Partridge St, Nauvoo, IL 62354",260 Partridge St,MATCH,40.543,-91.387,"40.543, -91.387",,,"40.548344558634675, -91.38889689798896",,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/pageant-stage-area?lang=eng
Parley Fire Pit,Visitor Amenity,yes,"Parley St, Nauvoo, IL 62354",,no official addr,40.543267,-91.395,"40.543267, -91.395",40.5429501,-91.3809426,"40.54343607555896, -91.40041429421763",1188,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/parley-fire-pit?lang=eng
Partridge Street Wood,Visitor Amenity,yes,"Partridge St, Nauvoo, IL 62354",,no official addr,40.543,-91.387,"40.543, -91.387",40.548729,-91.3908229,"40.549671420233274, -91.38851108082662",714,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/partridge-street-wood?lang=eng
Partridge Street Wood Picnic Area,Visitor Amenity,yes,"Nauvoo Groves, Nauvoo, IL 62354",,no official addr,40.543,-91.387,"40.543, -91.387",40.5488092,-91.3902172,"40.54898447491012, -91.3888009936218",701,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/partridge-street-wood-picnic-area?lang=eng
Pastimes Pavilion,Visitor Amenity,yes,"455 Main St, Nauvoo, IL 62354",455 Main St,MATCH,40.547,-91.384,"40.547, -91.384",40.5457969,-91.3920189,"40.5457969, -91.3920189",691,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/pastimes-pavilion?lang=eng
Pioneer Memorial Picnic Area,Visitor Amenity,yes,"175 Water St, Nauvoo, IL 62354",175 Water St,MATCH,40.543267,-91.395,"40.543267, -91.395",40.5424368,-91.402138,"40.542842935315626, -91.39995876068416",610,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/pioneer-memorial-picnic-area?lang=eng
Pioneer Memorial and Exodus to Greatness,Monument,yes,"455 Main St, Nauvoo, IL 62354",455 Main St,MATCH,40.543267,-91.395,"40.543267, -91.395",40.5429248,-91.4002175,"40.5429503236417, -91.40021940909193",443,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/pioneer-memorial-nauvoo?lang=eng
Pioneer Pastimes Picnic Area,Visitor Amenity,yes,"Main St, Nauvoo, IL 62354",,no official addr,40.547,-91.384,"40.547, -91.384",40.5499347,-91.3940857,"40.54631318504139, -91.39176881496982",913,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/pioneer-pastimes-picnic-area?lang=eng
Pioneer Saints Cemetery,Historic Site,yes,"E Co Rd 2300, Nauvoo, IL 62354",,no official addr,40.536686,-91.350606,"40.536686, -91.350606",40.5373819,-91.3495336,"40.536362648297974, -91.35043482438023",119,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/pioneer-saints-cemetery?lang=eng
Red Brick Store,Historic Site,yes,"Water St, Nauvoo, IL 62354",865 Water St.,DIFFERS,40.541,-91.3885,"40.541, -91.3885",,,"40.54072184661536, -91.39314665451464",,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/red-brick-store?lang=eng
Scovil Bakery,Historic Site,yes,"325 Main St, Nauvoo, IL 62354",325 Main St,MATCH,40.547139,-91.391791,"40.547139, -91.391791",40.5471262,-91.3917604,"40.5471262, -91.3917604",3,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/scovil-bakery?lang=eng
Seventies Hall,Historic Site,yes,"505 Parley St, Nauvoo, IL 62354",505 Parley St,MATCH,40.547367,-91.391717,"40.547367, -91.391717",40.5433225,-91.3947248,"40.5433225, -91.3947248",517,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/seventies-hall?lang=eng
Smith Family Cemetery,Historic Site,yes,"Water St, Nauvoo, IL 62354",610 Water St,DIFFERS,40.5405,-91.3895,"40.5405, -91.3895",40.5403759,-91.3947993,"40.54039517607009, -91.3922169214236",448,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/smith-family-cemetery?lang=eng
Smith Family Homestead,Historic Site,yes,"890 Main St, Nauvoo, IL 62354",890 Main St.,MATCH,40.5401,-91.3914,"40.5401, -91.3914",40.5404281,-91.3945822,"40.5404114906334, -91.3920095085881",271,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/smith-family-homestead?lang=eng
Stoddard Tin Shop,Historic Site,yes,"535 Main St, Nauvoo, IL 62354",535 Main St,MATCH,40.547,-91.384,"40.547, -91.384",40.5450211,-91.3918104,"40.5450211, -91.3918104",696,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/stoddard-tin-shop?lang=eng
"Taylor Home, Print Shop, and Post Office",Historic Site,yes,"350 Main St, Nauvoo, IL 62354",585 Main St. ,MATCH,40.547,-91.384,"40.547, -91.384",40.5443483,-91.3917822,"40.54446626123211, -91.39178642114165",721,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/taylor-home-print-shop-and-post-office?lang=eng
Temple Arrival Center,Visitor Amenity,yes,"1165 Knight St, Nauvoo, IL 62354",1165 Knight St,MATCH,40.551,-91.383,"40.551, -91.383",40.5512591,-91.3840435,"40.5512591, -91.3840435",93,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/temple-arrival-center?lang=eng
Temple Stones Pavilion,Historic Site,yes,"965 Young St, Nauvoo, IL 62354",965 Young St,MATCH,40.551,-91.383,"40.551, -91.383",40.5531969,-91.3870301,"40.55187566490634, -91.38734722945196",419,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/temple-stones-pavilion?lang=eng
The Nauvoo House,Historic Site,yes,"Water St, Nauvoo, IL 62354",890 Main St.,DIFFERS,40.5401,-91.3914,"40.5401, -91.3914",40.5401069,-91.3939514,"40.54011498368517, -91.39140954407702",216,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/nauvoo-house?lang=eng
Trail of Hope,Historic Site,yes,"505 Parley St, Nauvoo, IL 62354",505 Parley St,MATCH,40.543267,-91.395,"40.543267, -91.395",40.5432455,-91.3975521,"40.543272638645234, -91.39505599478635",216,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/trail-of-hope?lang=eng
Visitors' Center Picnic Area,Visitor Amenity,yes,"290 Main St, Nauvoo, IL 62354",290 Main St,MATCH,40.5475,-91.3825,"40.5475, -91.3825",40.5535747,-91.3923894,"40.55424711468822, -91.39040192081008",1074,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/historic-nauvoo-visitors-center-picnic-area?lang=eng
Wagon Depot,Wagon Depot,yes,"Hotchkiss Street, Nauvoo, IL 62354",,no official addr,40.546,-91.387,"40.546, -91.387",40.5464477,-91.3915684,"40.546716154548946, -91.39241048132338",389,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/wagon-depot?lang=eng
Webb Blacksmith Shop,Historic Site,yes,"585 Parley St, Nauvoo, IL 62354",585 Parley St,MATCH,40.543,-91.392,"40.543, -91.392",40.543217,-91.3960843,"40.543241224294256, -91.39360798302586",346,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/webb-blacksmith-shop?lang=eng
West Grove,Historic Site,yes,"985 Knight St, Nauvoo, IL 62354",985 Knight St,MATCH,40.550933,-91.387417,"40.550933, -91.387417",40.5506986,-91.3870548,"40.55090519325927, -91.38702077033403",40,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/west-grove?lang=eng
Wilford and Phebe Woodruff Home,Historic Site,yes,"2983 N Durphy St, Nauvoo, IL 62354",2983 N Durphy St,MATCH,40.5489,-91.3803,"40.5489, -91.3803",40.5462012,-91.3874568,"40.54625206399015, -91.38680510012415",675,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/woodruff-home?lang=eng
William and Caroline Weeks Home,Historic Site,yes,"965 Young St, Nauvoo, IL 62354",965 Young St,MATCH,40.551,-91.383,"40.551, -91.383",,,"40.55225245358137, -91.38755697348397",,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/weeks-home?lang=eng
William and Esther Gheen Home,Historic Site,yes,"965 Young St, Nauvoo, IL 62354",55 Partridge St,MATCH,40.551,-91.383,"40.551, -91.383",40.550503,-91.388346,"40.55039839594493, -91.38835600676397",455,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/gheen-home?lang=eng
Nauvoo Temple Visitors’ Center,,yes,*** MISSING FROM OUR DATA ***,155 N Wells St,,,,,,,"40.55147704009174, -91.38542237242872",,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/nauvoo-temple-visitors-center?lang=eng